field,column,group,type,
birth_order,,child,birth_order,
,CDIAge,,,
data_age,data_age,admin,data_age,
date_of_test,DOCDI,admin,date_of_test,
ethnicity,,child,ethnicity,
mom_ed,,child,mom_ed,
sex,Gender,child,sex,
study_id,ParticipantId,child,study_id,
norming,norming,admin,norming,
item_1,BAABAA,item,word,baa_baa
item_2,CHOOCHOO,item,word,choo_choo
item_3,COCKDDLD,item,word,cockadoodledoo
item_4,GRR,item,word,grrr
item_5,MEOW,item,word,meow
item_6,MOO,item,word,moo
item_7,OUCH,item,word,ouch
item_8,QUACKQCK,item,word,quack_quack
item_9,UHOH,item,word,uh_oh
item_10,VROOM,item,word,vroom
item_11,WOOFWOOF,item,word,woof_woof
item_12,YUMYUM,item,word,yum_yum
item_13,ALLIGATR,item,word,alligator
item_14,ANIMAL,item,word,animal
item_15,ANT,item,word,ant
item_16,BEAR,item,word,bear
item_17,BEE,item,word,bee
item_18,BIRD,item,word,bird
item_19,BUG,item,word,bug
item_20,BUNNY,item,word,bunny
item_21,BUTTRFLY,item,word,butterfly
item_22,CAT,item,word,cat
item_23,CHICKEN1,item,word,chicken.animal
item_24,COW,item,word,cow
item_25,DEER,item,word,deer
item_26,DOG,item,word,dog
item_27,DONKEY,item,word,donkey
item_28,DUCK,item,word,duck
item_29,ELEPHANT,item,word,elephant
item_30,FISH1,item,word,fish.animal
item_31,FROG,item,word,frog
item_32,GIRAFFE,item,word,giraffe
item_33,GOOSE,item,word,goose
item_34,HEN,item,word,hen
item_35,HORSE,item,word,horse
item_36,KITTY,item,word,kitty
item_37,LAMB,item,word,lamb
item_38,LION,item,word,lion
item_39,MONKEY,item,word,monkey
item_40,MOOSE,item,word,moose
item_41,MOUSE,item,word,mouse
item_42,OWL,item,word,owl
item_43,PENGUIN,item,word,penguin
item_44,PIG,item,word,pig
item_45,PONY,item,word,pony
item_46,PUPPY,item,word,puppy
item_47,ROOSTER,item,word,rooster
item_48,SHEEP,item,word,sheep
item_49,SQUIRREL,item,word,squirrel
item_50,TEDDYBER,item,word,teddybear
item_51,TIGER,item,word,tiger
item_52,TURKEY,item,word,turkey
item_53,TURTLE,item,word,turtle
item_54,WOLF,item,word,wolf
item_55,ZEBRA,item,word,zebra
item_56,AIRPLANE,item,word,airplane
item_57,BICYCLE,item,word,bicycle
item_58,BOAT,item,word,boat
item_59,BUS,item,word,bus
item_60,CAR,item,word,car
item_61,FIRETRCK,item,word,firetruck
item_62,HELICPTR,item,word,helicopter
item_63,MOTRCYCL,item,word,motorcycle
item_64,SLED,item,word,sled
item_65,STROLLER,item,word,stroller
item_66,TRACTOR,item,word,tractor
item_67,TRAIN,item,word,train
item_68,TRICYCLE,item,word,tricycle
