type,value,data_value
sex,M,boy
sex,F,girl
mom_ed,some secondary,1
mom_ed,secondary,2
mom_ed,college,3
mom_ed,graduate,4
condition,,
condition,Pre-term,1
word,produces,1
word,,0
how_use_words,not yet,0
how_use_words,sometimes,1
how_use_words,often,2
word_endings,not yet,0
word_endings,sometimes,1
word_endings,often,2
word_forms_nouns,produces,1
word_forms_nouns,,0
word_forms_verbs,produces,1
word_forms_verbs,,0
word_endings_nouns,produces,1
word_endings_nouns,,0
word_endings_verbs,produces,1
word_endings_verbs,,0
combine,not yet,0
combine,sometimes,1
combine,often,2
complexity,,
complexity,simple,1
complexity,complex,2
